Name,ID,L,a,b,LRV,R,G,B
Alexandra Peach,1059,68.9486,24.6756,20.2896,0.39273,0.857924,0.591519,0.521362
First Lady,1060,58.8086,28.463,23.0929,0.268213,0.767997,0.475196,0.402527
April Love,1061,36.59,33.121,25.8426,0.0931829,0.546419,0.240365,0.18241
Albino,1062,95.0892,3.27907,6.00931,0.878297,0.984753,0.935234,0.899621
Tiny Pink,1063,88.7842,13.3459,12.9731,0.737078,1.00014,0.837588,0.780017
Mystic Tulip,1064,79.4074,24.9177,18.6476,0.556382,0.977395,0.701689,0.640857
Rose Essence,1065,72.7244,31.9212,23.8834,0.447461,0.948876,0.607807,0.535935
Sari,1066,63.7713,39.8001,31.7678,0.325212,0.895998,0.485591,0.393516
Sweet Baby Rose,1067,49.527,46.3586,33.2133,0.180255,0.762612,0.310955,0.252805
Best of the Bunch,1068,49.5068,42.2707,32.2682,0.180088,0.741531,0.329337,0.257304
Pink Touch,1069,91.6934,7.23592,9.03671,0.800191,0.982275,0.886653,0.83998
Peony Prize,1070,90.3069,9.44593,8.20922,0.76968,0.980683,0.86563,0.831391
Cloud Number Nine,1071,86.2693,14.8167,9.88756,0.685271,0.975612,0.806467,0.77597
Lusty Orange,1072,77.4694,23.5413,13.9138,0.52316,0.939205,0.685809,0.654523
Graceful Ballerina,1073,65.8644,31.7384,21.2041,0.351489,0.864946,0.537055,0.485862
It's My Party,1074,58.6072,34.803,24.2826,0.266053,0.801714,0.451646,0.394281
Cherry Blink,1075,46.6799,36.6786,26.987,0.157765,0.677431,0.3246,0.265188
Baby Blossom,1076,95.2588,3.00691,4.40607,0.882326,0.980802,0.938102,0.913595
Lady Anne,1077,92.0151,9.03913,5.43046,0.807382,0.99121,0.886133,0.870961
Aromatic Breeze,1078,87.5349,19.9518,9.40752,0.711027,1.02406,0.805982,0.79437
